nhl_id,name,team,positions,match_method
8479675,"Trevor Moore",LA,LW|RW,exact
8481533,"Trevor Zegras",PHI,C|LW|RW,exact
8478873,"Troy Terry",ANA,RW,exact
8477479,"Tyler Bertuzzi",CHI,LW|RW,exact
8474574,"Tyler Myers",DAL,D,exact
8475794,"Tyler Seguin",DAL,C|RW,exact
8475726,"Tyler Toffoli",SJ,LW|RW,exact
8482159,"Tyson Foerster",PHI,LW|RW,exact
8477501,"Valeri Nichushkin",CBJ,LW|RW,exact
8481617,"Vasily Podkolzin",EDM,LW|RW,exact
8475167,"Victor Hedman",TB,D,exact
8478109,"Victor Olofsson",VGK,LW|RW,exact
8478042,"Viktor Arvidsson",DET,LW|RW,exact
8478407,"Vince Dunn",SEA,D,exact
8476389,"Vincent Trocheck",UTA,C,exact
8486189,"Vitali Pinchuk",NSH,C,exact
8475765,"Vladimir Tarasenko",MIN,LW|RW,exact
8478882,"Vladislav Gavrikov",NYR,D,exact
8476480,"Vladislav Namestnikov",WPG,C|LW,exact
8477998,"Warren Foegele",OTT,LW|RW,exact
8478840,"Will Borgen",BOS,D,exact
8482157,"Will Cuylle",NYR,LW|RW,exact
8484227,"Will Smith",SJ,LW|RW,exact
8477478,"William Carrier",CAR,LW,exact
8482667,"William Eklund",OTT,LW|RW,exact
8476448,"William Karlsson",VGK,C,exact
8477939,"William Nylander",TOR,C|RW,exact
8482740,"Wyatt Johnston",DAL,C|RW,exact
8478508,"Yakov Trenin",MIN,C|LW|RW,exact
8481068,"Yegor Sharangovich",CGY,C|LW|RW,exact
8484145,"Zach Benson",BUF,LW,exact
8475786,"Zach Hyman",EDM,LW|RW,exact
8478460,"Zach Werenski",CBJ,D,exact
8480727,"Zach Whitecloud",CGY,D,exact
8482742,"Zachary L'Heureux",COL,LW,exact
8476878,"Zemgus Girgensons",TB,LW,exact
